arxiv_id,title,authors,published,iaifi_theme
2402.05110,Opening the AI black box: program synthesis via mechanistic interpretability,Eric J. Michaud; Isaac Liao; Vedang Lad; Ziming Liu; Anish Mudide; Chloe Loughridge; Zifan Carl Guo; Tara Rezaei Kheirkhah; Mateja Vukelić; Max Tegmark,2024-02-01,AI
2401.11375,Rigid Schubert classes in partial flag varieties,Yuxiang Liu; Artan Sheshmani; Shing-Tung Yau,2024-01-01,AI
2401.09949,SymbolNet: neural symbolic regression with adaptive dynamic pruning for compression,Ho Fung Tsoi; Vladimir Loncar; Sridhara Dasu; Philip Harris,2024-01-01,AI
2312.05226,Derived Moduli Spaces of Nonlinear PDEs I: Singular Propagations,Jacob Kryczka; Artan Sheshmani; Shing-Tung Yau,2023-12-01,AI
2312.02815,Shifted symplectic structures on derived Quot-stacks II – Derived Quot-schemes as dg manifolds,Dennis Borisov; Ludmil Katzarkov; Artan Sheshmani,2023-12-01,AI
2312.03051,Generating Interpretable Networks using Hypernetworks,Isaac Liao; Ziming Liu; Max Tegmark,2023-12-01,AI
2311.18828,One-step Diffusion with Distribution Matching Distillation,Tianwei Yin; Michaël Gharbi; Richard Zhang; Eli Shechtman; Fredo Durand; William T. Freeman; Taesung Park,2023-11-01,AI
2311.16199,Symphony: Symmetry-Equivariant Point-Centered Spherical Harmonics for Molecule Generation,Ameya Daigavane; Song Kim; Mario Geiger; Tess Smidt,2023-11-01,AI
2311.09074,Super Gromov-Witten Invariants via torus localization,Enno Keßler; Artan Sheshmani; Shing-Tung Yau,2023-11-01,AI
2311.01405,Learning to See Physical Properties with Active Sensing Motor Policies,Gabriel B. Margolis; Xiang Fu; Yandong Ji; Pulkit Agrawal,2023-11-01,AI
2310.07765,Feature Learning and Generalization in Deep Networks with Orthogonal Weights,Hannah Day; Yonatan Kahn; Daniel A. Roberts,2023-10-01,AI
2310.07711,Growing Brains: Co-emergence of Anatomical and Functional Modularity in Recurrent Neural Networks,Ziming Liu; Mikail Khona; Ila R. Fiete; Max Tegmark,2023-10-01,AI
2310.06824,The Geometry of Truth: Emergent Linear Structure in Large Language Model Representations of True/False Datasets,Samuel Marks; Max Tegmark,2023-10-01,AI
2310.05918,Grokking as Compression: A Nonlinear Complexity Perspective,Ziming Liu; Ziqian Zhong; Max Tegmark,2023-10-01,AI
2310.02299,Discovering Symmetry Breaking in Physical Systems with Relaxed Group Convolution,Rui Wang; Elyssa Hofgard; Han Gao; Robin Walters; Tess E. Smidt,2023-10-01,AI
2310.02258,A Neural Scaling Law from Lottery Ticket Ensembling,Ziming Liu; Max Tegmark,2023-10-01,AI
2308.07931,Distilled Feature Fields Enable Few-Shot Language-Guided Manipulation,William Shen; Ge Yang; Alan Yu; Jansen Wong; Leslie Pack Kaelbling; Phillip Isola,2023-08-01,AI
2307.08106,Polarization Multi-Image Synthesis with Birefringent Metasurfaces,Dean Hazineh; Soon Wei Daniel Lim; Qi Guo; Federico Capasso; Todd Zickler,2023-07-01,AI
2306.17844,The Clock and the Pizza: Two Stories in Mechanistic Explanation of Neural Networks,Ziqian Zhong; Ziming Liu; Max Tegmark; Jacob Andreas,2023-06-01,AI
2306.09730,Torus Actions on Moduli Spaces of Super Stable Maps of Genus Zero,Enno Keßler; Artan Sheshmani; Shing-Tung Yau,2023-06-01,AI
